Unnamed,이름,이메일,견종,견종_코드,크기,크기_코드,색상,색상_코드,연령대,연령대_코드,상태,상태_코드,브랜드,브랜드_코드,사료,사료_코드,평점,후기,주소,국가,시도,시군구,CP,CF,CR,CB,CA,PO,WA,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,field_74,field_75,field_76,field_77,field_78,field_79,field_80,field_81,field_82,field_83
398,달이,dummy290@dummy.dummy,푸들,SPD,소형견,S,블랙,BL,성견,A,피부병,SD,닥터도비,DD,스킨앤코트,DD001,5,변 잘보고 건강하고 씩씩함. 사료도 맛있게 잘 먹어서 좋음,경기도 김포시,대한민국,경기도,김포시,26.0,12.0,10.0,5.0,0.9,1.3,14.0,AOC,BMA,BW,BW,HNCFE,BBP,BSM,AMM,O6,HCAPO,GCALP,GCS,HCHO,HCTS,CYSE,GIR,GM,GZ,GCO,GSEL,FVA,FVD,FMVK,FVBO ,FVBT,FVBS,FVBTW,FVBTH,FBIOT,FVBN,FVBF,EHSA,DCL,FDHA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
399,하비,dummy895@dummy.dummy,푸들,SPD,소형견,S,블랙,BL,성견,A,임신중,DP,닥터도비,DD,스킨앤코트,DD001,2,전연령 사료이고 성분이 좋다 하여 급여하기 시작했으나 임신중에는 많은 영양분 조달이 힘들다는 것을 알게되었다.,충북 제천시,대한민국,충청북도,제천시,26.0,12.0,10.0,5.0,0.9,1.3,14.0,AOC,BMA,BW,BW,HNCFE,BBP,BSM,AMM,O6,HCAPO,GCALP,GCS,HCHO,HCTS,CYSE,GIR,GM,GZ,GCO,GSEL,FVA,FVD,FMVK,FVBO ,FVBT,FVBS,FVBTW,FVBTH,FBIOT,FVBN,FVBF,EHSA,DCL,FDHA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
400,파란,dummy101@dummy.dummy,요크셔테리어,SYT,소형견,S,골든,GD,성견,A,피부병,SD,프로베스트,PO,어덜트,PO004,5,저렴하면서도 괜찮습니다. 계속 이용할듯싶어요.,대전시 중구,대한민국,대전광역시,중구,22.0,10.0,10.0,3.0,0.9,0.9,12.0,ACMP,BGRA,HPO,HCF,BGBP,HDPRO,BBP,GCS,FLTRY,FMETH,FMV,GTMM,CFE,CYSE,HCCHL,HNAO,FVE,HVEGF,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
401,타니,dummy102@dummy.dummy,요크셔테리어,SYT,소형견,S,브라운,BR,성견,A,피부병,SD,프로베스트,PO,어덜트,PO004,5,저렴하면서도 괜찮습니다. 만족합니다.,대전시 중구,대한민국,대전광역시,중구,22.0,10.0,10.0,3.0,0.9,0.9,12.0,ACMP,BGRA,HPO,HCF,BGBP,HDPRO,BBP,GCS,FLTRY,FMETH,FMV,GTMM,CFE,CYSE,HCCHL,HNAO,FVE,HVEGF,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
402,바람이,dummy103@dummy.dummy,푸들,SPD,소형견,S,블랙,BL,성견,A,슬개골 탈구,LP,Anf 유기농,AF,유기농 95 치킨,AF025,5,유기농이라 급여중! 맘에 듭니다. 건강해지는 것 같아요.,논산 연무읍,대한민국,충청남도,논산시,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
403,하랑이,dummy104@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,식분증,CP,Anf 유기농,AF,유기농 95 치킨,AF025,4,썩 좋아하진않는다. 성분은 좋아보임 그래서 아직까진 이용중,대전 서구,대한민국,대전광역시,서구,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
404,흰둥이,dummy118@dummy.dummy,포메라니안,SPM,소형견,S,퓨어화이트,PH,성견,A,비만,OB,ANF 유기농,AF,유기농 95 치킨,AF025,5,잘먹음 기호성이 좋은 것 같다. 가리지 않고 잘 먹어서 좋다.,대전 유성구,대한민국,대전광역시,유성구,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
405,달콩이,dummy201@dummy.dummy,믹스견,MMX,중형견,M,블랙,BL,성견,A,유루증,EP,ANF,AF,유기농 95 치킨,AF025,5,잘 먹는다. 유기농이라 믿고 먹이고 있다. ,대전 유성구,대한민국,대전광역시,유성구,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
406,금동이,dummy217@dummy.dummy,시바견,MS,중형견,M,브라운,BR,성견,A,피부병,SD,ANF,AF,유기농 95 치킨,AF025,5,"변도 좋고, 기호성이 좋음 가리지 않고 잘 먹어서 좋다.",대전 서구,대한민국,대전광역시,서구,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
407,별아,dummy335@dummy.dummy,미니푸들,SPD,소형견,S,브라운,BR,성견,A,시력 이상,ESP,ANF,AF,유기농 95 치킨,AF025,5,다른건 입에 대지도 않아서 이것만 먹이는데 변 상태나 사료 크기나 촉감에 불만없습니다,대구 북구,대한민국,대구광역시,북구,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
408,잭슨,dummy637@dummy.dummy,달마시안,BDL,대형견,B,퓨어화이트,PH,성견,A,피부병,SD,ANF 오가닉치킨,AF,유기농 95 치킨,AF025,5,기호성 좋음. 잘먹으면 꾸준히 이용할생각이다,경북 포항,대한민국,경상북도,포항시,24.0,10.0,8.0,8.0,1.0,0.4,11.0,BOMG,BOBR,BOUGO,BPP,ALM,AOC,BOBA,BR,BOSME,COSSM,HRCO,BOL,COSFS,BOMB,BOBW,COSP,COCAR,COPU,BPS,HELV,FMV,FMMI,GCALP,GS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
409,할리,dummy107@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,노견,S,10세 이상 노견,A10,로얄캐닌 카디악,RN,카디악,RN023,3,처방식이라 고를수가 없어요,대전 서구,대한민국,대전광역시,서구,26.0,20.0,0.0,1.6,0.83,0.55,0.0,BR,APM,BMA,HANI,BCG,AE,AHAP,BBP,HFO,HVEGF,FMMI,HSO,HY,HFOS,CGTE,CMARI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
410,켈리,dummy108@dummy.dummy,퍼그,SP,소형견,S,퓨어화이트,PH,성견,A,피부병,SD,로얄캐닌,RN,PRO 자이언트 어덜트,RN058,5,기호성이 높음 앞으로도 이 사료로 이용할 생각.,대전 송강동,대한민국,대전광역시,유성구,28.0,20.0,6.0,1.9,1.0,0.7,8.0,APM,BMA,BMA,HANI,BCG,HDPRO,HVEGP,BBP,HDF,HFO,FMMI ,HSO,HY,HBO,EHC,FLTY,HLC,HCAR,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
411,꼬밍이,dummy643@dummy.dummy,달마시안,BDL,대형견,B,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,로얄캐닌,RN,PRO 자이언트 어덜트,RN058,2,변 상태가 좋지 않아서 다른 상품으로 바꾸려 생각중임.,경북 포항,대한민국,경상북도,포항시,28.0,20.0,6.0,1.9,1.0,0.7,8.0,APM,BMA,BMA,HANI,BCG,HDPRO,HVEGP,BBP,HDF,HFO,FMMI ,HSO,HY,HBO,EHC,FLTY,HLC,HCAR,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
412,포미,dummy109@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,귓병,ET,알파벳,AL,귀질환 및 알러지원 제거,AL006,5,좋아요 잘 먹는 것 같습니다. 맛있게 먹는 것 같아요.,대전,대한민국,대전광역시,blank,32.0,16.0,0.0,7.0,0.7,0.6,8.0,EHSPR,BR,HRCO,BR,BOBA,HNFE,BOUGO,BRB,BBP,BOL,BOS,HFOS,COSSM,HSUN,HSALO,BOMB,COSFS,BOBW,CYSE,CGB,HLFER,ESR,TA,FMETH,FLLYS,CAVE,HMI,DSPIR,HYRA,HMSM,CRGI,GTE,FMMI,FMMI,FMV,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
413,꼬밍이,dummy112@dummy.dummy,치와와,SCH,소형견,S,블랙앤탄,BT,성견,A,비만,OB,캐니대,CA,치킨 앤 라이스,CA002,5,좋습니다. 잘 먹어요 만족합니다. 괜찮은 것 같아요.,대전 서구,대한민국,대전광역시,서구,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
414,해피,dummy115@dummy.dummy,치와와,SCH,소형견,S,초콜렛,CC,성견,A,슬개골 탈구,LP,캐니대,CA,치킨 앤 라이스,CA002,5,좋다. 잘 먹어서 보기도 좋고 만족한다.,대전 서구,대한민국,대전광역시,서구,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
415,메리,dummy116@dummy.dummy,치와와,SCH,소형견,S,블랙,BL,성견,A,슬개골 탈구,LP,캐니대,CA,치킨 앤 라이스,CA002,5,좋음 이정도면 괜찮은 사료인 것 같다.,대전 서구 ,대한민국,대전광역시,서구,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
416,뱅,dummy366@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,성견,A,비만,OB,캐니대,CA,치킨 앤 라이스,CA002,2,캐니대 사료 급여했더니 살이 더 쪘어요.,대전,대한민국,대전광역시,blank,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
417,별아,dummy866@dummy.dummy,푸들,SPD,소형견,S,브라운,BR,강아지,P,12개월 이하 아기,BU12,캐니대,CA,치킨 앤 라이스,CA002,4,사료 냄새가 좋고 잘 먹는다.,충남 공주시,대한민국,충청남도,공주시,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
418,미소,dummy911@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,노견,S,피부병,SD,캐니대,CA,치킨 앤 라이스,CA002,4,피부가 좋지 않았는데 조금씩 호전을 보임.,경북 포항시,대한민국,경상북도,포항시,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
419,베스,dummy921@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,캐니대,CA,치킨 앤 라이스,CA002,2,잘 먹지 않고 먹어도 금방 싫증낸다.,대구 달서구,대한민국,대구광역시,달서구,26.0,15.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,HCF,BPM,CT,HNFE,BL,GPC,HCCHL,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
420,푸딩이,dummy114@dummy.dummy,토이푸들,SPD,소형견,S,브라운,BR,강아지,P,12개월 이하 아기,BU12,로얄캐닌,RN,푸들 주니어,RN032,4,냄새가 좀 맘에 안들어요. 그거 빼고는 만족합니다.,대전 서구,대한민국,대전광역시,서구,33.0,19.0,7.1,1.4,1.2,0.89,0.0,APM,HVEGP,HANI,BMA,BR,BCG,BW,AHAP,BMA,BBP,FMMI,HFO,HY,HSO,HFOS,CPLSH,HHY,HBO,CMARI,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
421,오브,dummy119@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,ANF,AF,홀리스틱 램앤라이스 퍼피,AF001,4,그럭저럭 만족하고있습니다. 이정도면 괜찮은 것 같아요.,대전 서구,대한민국,대전광역시,서구,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
422,현미,dummy215@dummy.dummy,폼피츠,SMX,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,ANF 유기농,AF,홀리스틱 램앤라이스 퍼피,AF001,3,그럭저럭… 그렇게 막 좋은 사료인지는 잘 모르겠음.,세종시,대한민국,세종특별자치시,세종특별자치시,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
423,오공이,dummy436@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,성견,A,비만,OB,ANF 홀리스틱 퍼피,AF,홀리스틱 램앤라이스 퍼피,AF001,5,매우 잘 먹음. 맛있게 먹는 것 같다.,충남 아산시,대한민국,충청남도,아산시,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
424,천동이,dummy439@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,ANF 홀리스틱 퍼피,AF,홀리스틱 램앤라이스 퍼피,AF001,2,"처음에는 별탈 없이 잘 먹었는데, 1년이 다되어 가니 자꾸 살이 찌는 것 같음. 다른 사료로 바꿔줄 예정.",부산 해운대구,대한민국,부산광역시,해운대구,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
425,천송이,dummy517@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,성견,A,임신중,DP,ANF 홀리스틱 퍼피,AF,홀리스틱 램앤라이스 퍼피,AF001,5,기호성 좋음. 앞으로도 꾸준히 먹일생각이다. 아기가 좋아해서 만족스럽다.,서울 은평구,대한민국,서울특별시,은평구,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
426,소다,dummy792@dummy.dummy,요크셔테리어,SYT,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,ANF 홀리스틱 퍼피,AF,홀리스틱 램앤라이스 퍼피,AF001,5,"사료냄새도 많이 나지 않아 좋았고, 잘 먹고 살도 많이 쪄서 좋았다.",부산 수영구,대한민국,부산광역시,수영구,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
427,루,dummy891@dummy.dummy,푸들,SPD,소형견,S,초콜렛,CC,강아지,P,12개월 이하 아기,BU12,ANF 홀리스틱 퍼피,AF,홀리스틱 램앤라이스 퍼피,AF001,2,로얄캐닌 급여 후 ANF 사료로 바꿨는데 잘 먹지 않았다.,충북 옥천군,대한민국,충청북도,옥천군,27.0,17.0,9.1,4.0,1.5,1.58,10.0,ALM,BR,AOC,BOO,HCF,BBP,BL,ACC,AE,HNFE,HLEC,HFO,HCCHL,FLLYS,FMETH,HENTE,HLACA,HTRIM,HASPN,CYSE,DSW,HNAO,HCOLO,FPA,GPC,FCCOA,FBIOT,FVA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
428,봉봉이,dummy121@dummy.dummy,치와와,SCH,소형견,S,초콜렛,CC,성견,A,슬개골 탈구,LP,캐니대,CA,플래티넘,CA003,5,좋음 맛있게 잘 먹는 것 같아요. 꾸준히 사용할 계획입니다.,대전 서구,대한민국,대전광역시,서구,20.0,8.5,0.0,4.0,0.0,0.0,10.0,AC,BBRI,BR,BRB,BPE,CPOT,BW,BPM,ATP,ALM,HCF,CT,HNFE,BL,EF,HCCHL,GL,GCDS,CPLSH,CAL,HLEC,HAS,CCR,HBC,HROS,HSUN,CYSE,HENTE,HLACA,HLATO,HLAC,HTRIM,CP,CPI,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
